Key,Name,Default,Unlock
Alcryst:_Tender_Groom,Draw Back,4,3
Anna:_Secret_Seller,Rally Atk/Spd+,—,5
Anna:_Wealth-Wisher,Rally Def/Res+,—,5
Annette:_Overachiever,Rally Atk/Spd+,—,5
Arthur:_Hapless_Hero,Swap,4,3
Ashe:_Budding_Chivalry,Rally Up Spd+,—,5
Astrid:_Resolute_Damsel,Rally Atk/Def+,—,5
August:_Astute_Tactician,Nudge+,5,5
Azama:_Carefree_Monk,Martyr+,—,5
Azelle:_Youthful_Flame,Rally Up Spd+,—,5
Azura:_Celebratory_Spirit,Sing,4,3
Azura:_Hatari_Duet,Gray Waves,—,5
Azura:_Lady_of_Ballads,Sing,4,3
Azura:_Lady_of_the_Lake,Sing,4,3
Azura:_Song's_Reflection,Changing Waters,—,5
Azura:_Vallite_Songstress,Gray Waves II,—,5
Azura:_Young_Songstress,Sing,4,3
Barst:_The_Hatchet,Reposition,4,3
Bartre:_Earsome_Warrior,Smite,4,3
Bartre:_Fearless_Warrior,Smite,4,3
Berkut:_Debonair_Noble,Dance,4,3
Bernadetta:_Eternal_Loner,Ardent Sacrifice,4,3
Boyd:_Future_Great,Shove,4,3
Elincia:_Lost_Princess,Ardent Sacrifice,4,3
Canas:_Wisdom_Seeker,Reciprocal Aid,4,3
Eliwood:_Blazing_Knight,Rally Spd/Res+,—,5
Brady:_Daunting_Priest,Recover+,5,5
Brigid:_Orgahil_Pirate,Harsh Command+,—,5
Bruno:_Masked_Hare,Martyr+,5,5
Bruno:_Masked_Reveler,Reciprocal Aid,4,3
Caeda:_Sea-Blossom_Pair,Harsh Command+,—,5
Caeda:_Talys's_Heart,Rally Speed,4,3
Camilla:_Flower_of_Fantasy,Draw Back,4,3
Camilla:_Light_of_Nohr,Restore+,5,5
Camilla:_Spring_Princess,Rally Attack,4,3
Caspar:_Summer_Intensity,Smite,4,3
Cath:_Caper_Captain,Draw Back,4,3
Cath:_Master_Thief,Reposition,4,3
Catria:_Mild_Middle_Sister,Harsh Command+,—,5
Catria:_Spring_Whitewing,Draw Back,4,3
Catria:_Windswept_Knight,Harsh Command+,—,5
Cecilia:_Etrurian_Bride,Rally Atk/Res+,—,5
Cecilia:_Etrurian_General,Rally Resistance,4,3
Chad:_Lycian_Wildcat,Draw Back,4,3
Charlotte:_Money_Maiden,Smite,4,3
Cherche:_Wyvern_Friend,Pivot,4,3
Chrom:_Crowned_Exalt,To Change Fate! II,—,5
Chrom:_Fate-Defying_Duo,To Change Fate!,—,5
Chrom:_Fated_Honor,A Fate Changed!,—,5
Chrom:_Fell_Exalt,Fate Unchanged...,—,5
Chrom:_Gifted_Leader,Pivot,4,3
Chrom:_Spring_Exalt,Shove,4,3
Clair:_Highborn_Flier,Harsh Command,4,3
Clarine:_Refined_Noble,Martyr+,—,5
Colm:_Capable_Thief,Pivot,4,3
Conrad:_Unmasked_Knight,Ardent Sacrifice,4,3
