Key,Name,Title,Standard Artist,Description,Rarities,Weapon Type,Move Type,Voice ActorEN,Voice ActorJP,Release Date,Entry,Version,Internal ID,Origin,Addition Date,Pre-Inheritance,Legendary Effect,Ally Boost,Standard Effect 1,Standard Effect 2,Duo Skill【Switch】,Duo Skill,Resplendent Artist,Voice ActorEN(ResplendentAttire),Harmonized Skill【Switch】,Resonance Effect,Entries,Mythic Effect,Boost,Ascended Traits,Mythic Effect 2Boost,Mythic Effect 3Boost,Ally Internal ID,Enemy Internal ID,Emblem Effect 1,Emblem Effect 2,Aided Hero,Emblem Effect 1【Switch】
Ylgr_Fresh_Snowfall,Ylgr,Fresh Snowfall,Maeshima Shigeki (前嶋重機),"The youngest princess of Nifl, the Kingdom of Ice. Naive and brimming with curiosity, she's eager to explore new horizons.",4SR,Blue Dagger,Infantry,Megan Lee,Naomi Ohzora (大空直美),2018-11-21,Heroes,2.11,PID_ユルグ(314),00000200400,,,,,,,,,,,,,,,,,,,,,,,,
Abel_The_Panther,Abel,The Panther,Sasashima Suisei (笹島彗星),Altean cavalier known for his sensibility. Rode with Cain in service of Marth. Appears in Fire Emblem: Mystery of the Emblem.,3— 4,Lance,Cavalry,Mick Wingert,Takuya Sato (佐藤拓也),2017-02-02,Shadow Dragon/ (New)Mystery,1.0,PID_アベル(37),10000100700,,,,,,,,,,,,,,,,,,,,,,,,
Aelfric_Custodian_Monk,Aelfric,Custodian Monk,Kita Senri (北千里),Cardinal of Garreg Mach Monastery who oversees Abyss. Formed the Ashen Wolf House. Appears in Fire Emblem: Three Houses.,3— 5—Grand Hero Battle,Red Tome,Infantry,Michael Sinterniklaas,Daisuke Hirakawa (平川大輔),2021-09-18,Three Houses,5.9,PID_アルファルド(711),120000450500,2021-09-17,,,,,,,,,,,,,,,,,,,,,,,
Alcryst_Tender_Archer,Alcryst,Tender Archer,sena,"Second prince of Brodia and Diamant's younger brother, he is prone to self-deprecation. Appears in Fire Emblem Engage.",5Focus —Rearmed,Colorless bow,Infantry,Micah Solusod,Nobuhiko Okamoto (岡本信彦),2023-07-18,Engage,7.7,PID_魔器スタルーク(974),140000300500,,"In contrast with standard inheritance, arcane weapon skills can be inherited and the source ally will not be lost in the process. This can be performed only once for each Rearmed Hero summoned. (See the Inherit Skills menu Help messages to learn more.)",,,,,,,,,,,,,,,,,,,,,,
Alcryst_Tender_Groom,Alcryst,Tender Groom,namakawa (生川),"Second prince of Brodia. Feeling unworthy of such outstanding garb, he nevertheless carries himself with an appropriate air of nobility. Appears in Fire Emblem Engage.",4— 5—Tempest Trials,Red bow,Infantry,Micah Solusod,Nobuhiko Okamoto (岡本信彦),2024-05-20,Engage,8.5,PID_花婿スタルーク(1100),140000300500,,,,,,,,,,,,,,,,,,,,,,,,
Alear_Awoken_Divinity,Alear,Awoken Divinity,Kousei Horiguchi (恒星ホリグチ),"She who, dressed in white and wielding a gleaming blade, once exterminated the Fell Dragon to save the world. Appears in Fire Emblem Engage.",5Focus —Legendary,Green Breath,Infantry,Laura Stahl,Endo Aya (遠藤綾),2023-08-31,Engage,7.8,PID_伝承リュール女(991),140000100200,,,Fire,"HP+3, Def+4","DuelIf unit is 5★ and level 40 and unit's stats total less than 200, treats unit's stats as 200 in modes likeArena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)","Pair UpAn ability that can only be used under certain circumstances. Pair Up can be accessed from the Interact with Allies menu, and allows this unit to join battle in a group with another ally.",,,,,,,,,,,,,,,,,,
Alear_Dragon_Child,Alear,Dragon Child,Amagaitaro (アマガイタロー),"Successor to the Divine Dragon, awoken from a long sleep. Summons Emblems to lead the world to peace. Appears in Fire Emblem Engage.",4SR,Sword,Infantry,Laura Stahl,Endo Aya (遠藤綾),2023-01-17,Engage,7.1,PID_リュール女(905),140000100200,,,,,,,,,,,,,,,,,,,,,,,,
Alear_Dragon_Youth,Alear,Dragon Youth,HASUMI KAORU (蓮水薫),"Successor to the Divine Dragon, awoken from a long sleep. Summons Emblems to lead the world to peace. Appears in Fire Emblem Engage.",5,Sword,Infantry,Brandon McInnis,Shimono Hiro (下野紘),2023-07-18,Engage,7.7,PID_リュール男(978),140000100100,,,,,,,,,,,,,,,,,,,,,,,,
Alear_Engaging_Fire,Alear,Engaging Fire,Mikuro (みく郎),The hero who brought peace to the world by bringing his companions and the Emblems together and fighting alongside them. Appears in Fire Emblem Engage.,5Focus —Legendary,Colorless Breath,Infantry,Brandon McInnis,Shimono Hiro (下野紘),2024-02-29,Engage,8.2,PID_伝承リュール男(1068),140000100100,,,Earth,"HP+3, Spd+3","DuelIf unit is 5★ and level 40 and unit's stats total less than 205, treats unit's stats as 205 in modes likeArena. (Higher-scoring opponents will appear. Stat total calculation excludes any values added by merges and skills.)","Pair UpAn ability that can only be used under certain circumstances. Pair Up can be accessed from the Interact with Allies menu, and allows this unit to join battle in a group with another ally.",,,,,,,,,,,,,,,,,,
Alear_Fell_Dragon_Child,Alear,Fell Dragon Child,Dd,"One of the Fell Dragon Sombron's countless children. Dissociated from his emotions, he acts out his father's orders. Appears in Fire Emblem Engage.",5,Sword,Infantry,Brandon McInnis,Shimono Hiro (下野紘),2025-05-07,Engage,9.5,PID_闇リュール男(1239),140000100100,,,,,,,,,,,,,,,,,,,,,,,,
