Name,Range,Description,SP
Draw Back,1,Unit moves 1 space away from target ally. Ally moves to unit's previous space.,150
Rally Attack,1,Grants Atk+4 to target ally for 1 turn.,150
Rally Atk/Spd,1,Grants Atk/Spd+3 to target ally for 1 turn.,300
Rally Atk/Spd+,1,Grants Atk/Spd+6 to target ally for 1 turn.,400
Rally Resistance,1,Grants Res+4 to target ally for 1 turn.,150
Rally Def/Res,1,Grants Def/Res+3 to target ally for 1 turn.,300
Rally Def/Res+,1,Grants Def/Res+6 to target ally for 1 turn.,400
Swap,1,Unit and target ally swap spaces.,150
Rally Speed,1,Grants Spd+4 to target ally for 1 turn.,150
Rally Up Spd,1,Grants Spd+4 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,300
Rally Up Spd+,1,Grants Spd+6 to target ally and allies within 2 spaces of target (excluding unit) for 1 turn.,400
Rally Atk/Def,1,Grants Atk/Def+3 to target ally for 1 turn.,300
Rally Atk/Def+,1,Grants Atk/Def+6 to target ally for 1 turn.,400
Heal,1,Restores 5 HP to target ally.,50
Reconcile,1,Restores 7 HP to unit and target ally.,100
Nudge,1,"Restores 8 HP to target ally and pushes target ally 1 space away.If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",200
Nudge+,1,"Restores HP = 50% of unit's Atk (min 8 HP) to target ally and pushes target ally 1 space away.If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",300
Martyr,1,Slows Special trigger (cooldown count+1).Restores X HP to target (X = damage dealt to unit + 7).Restores Y HP to unit (Y = half damage dealt to unit).,200
Martyr+,1,Restores HP = damage dealt to unit +50% of Atk. (Minimum of 7 HP.)Restores HP to unit = half damage dealt to unit.,300
Sing,1,Grants another action to target ally.(Cannot target an ally with Sing or Dance.),150
Gray Waves,1,"Grants another action to target ally, and if target is an infantry or flying ally, target can move 1 extra space. (That turn only. Does not stack. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)",400
Changing Waters,1,"Grants another action to target ally and target can move 1 extra space (that turn only; does not stack; excluding cavalry allies with Range = 2), and also, grants【Incited】to target and allies within 2 spaces of target (excluding unit). (Cannot target an ally with Sing or Dance; this skill treated as Sing or Dance.)【Incited】If unit initiates combat, grants bonus to unit's Atk/Spd/Def/Res = number of spaces from start position to end position of unit during combat (max 3; that turn only).",400
Gray Waves II,1,"Grants another action to target ally, and if target is an infantry or flying ally, grants 【Null Panic】to target and target can move 1 extra space. (That turn only. Does not stack. Cannot target an ally with Sing or Dance. This skill treated as Sing or Dance.)【Null Panic】If unit is inflicted with Panic (bonuses converted into penalties), neutralizes the ""converts bonuses on target into penalties"" effect for 1 turn. (Even though the effect is neutralized, the Panic status remains, and is treated as a Penalty status.)",400
Reposition,1,Target ally moves to opposite side of unit.,150
Smite,1,Pushes target ally 2 spaces away.,150
Dance,1,Grants another action to target ally.(Cannot target an ally with Sing or Dance.),150
Ardent Sacrifice,1,Restores 10 HP to target ally.Unit loses 10 HP but cannot go below 1.,150
Shove,1,Pushes target ally 1 space away.,150
Reciprocal Aid,1,Unit and target ally swap HP.(Neither can go above their max HP.),150
Rally Spd/Res,1,Grants Spd/Res+3 to target ally for 1 turn.,300
Rally Spd/Res+,1,Grants Spd/Res+6 to target ally for 1 turn.,400
Mend,1,Restores 10 HP to target ally.,100
Recover,1,Slows Special trigger (cooldown count+1).Restores 15 HP to target ally.,200
Recover+,1,Restores HP = 50% of Atk +10. (Minimum of 15 HP.),300
Harsh Command,1,Converts penalties on target into bonuses.,150
Harsh Command+,1,"Neutralizes target ally's penalties (from skills like Panic, Threaten, etc.) and negative status effects (preventing counterattacks, restricting movement, etc.) that last through ally's next action. Converts any penalties on target ally into bonuses.",400
