Name,Type,Description,SP
HP +3,A,Grants HP+3.,40
HP +4,A,Grants HP+4.,80
HP +5,A,Grants HP+5.,160
Swordbreaker 1,B,"If unit's HP ≥ 90% in combat against a sword foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",50
Swordbreaker 2,B,"If unit's HP ≥ 70% in combat against a sword foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",100
Swordbreaker 3,B,"If unit's HP ≥ 50% in combat against a sword foe, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack.",200
Atk/Res Push 1,A,"At start of combat, if unit's HP = 100%, grants Atk/Res+3, but if unit attacked, deals 1 damage to unit after combat.",60
Atk/Res Push 2,A,"At start of combat, if unit's HP = 100%, grants Atk/Res+4, but if unit attacked, deals 1 damage to unit after combat.",120
Atk/Res Push 3,A,"At start of combat, if unit's HP = 100%, grants Atk/Res+5, but if unit attacked, deals 1 damage to unit after combat.",240
Threaten Res 1,C,"At start of turn, inflicts Res-3 on foes within 2 spaces through their next actions.",50
Threat. Def/Res 1,C,"At start of turn, inflicts Def/Res-3 on foes within 2 spaces of unit through their next actions.",100
Threat. Def/Res 2,C,"At start of turn, inflicts Def/Res-4 on foes within 2 spaces of unit through their next actions.",200
Flashing Blade 1,A,"If unit's Spd ≥ foe's Spd+5, grants Special cooldown charge +1 per unit's attack.(Only highest value applied. Does not stack.)",60
Flashing Blade 2,A,"If unit's Spd ≥ foe's Spd+3, grants Special cooldown charge +1 per unit's attack.(Only highest value applied. Does not stack.)",120
Flashing Blade 3,A,"If unit's Spd > foe's Spd, grants Special cooldown charge +1 per unit's attack.(Only highest value applied. Does not stack.)",240
Flash Sparrow,A,"If unit initiates combat, grants Atk/Spd+7 to unit during combat, and also, if unit's Spd ≥ foe's Spd-5, grants Special cooldown charge +1 to unit per attack during combat (only highest value applied; does not stack).",300
Get Behind Me!,B,"If unit initiates combat or is within 2 spaces of an ally, inflicts Spd/Def-5 on foe, inflicts penalty on foe's Def = 30% of foe's Def at start of combat, and neutralizes effects that inflict ""Special cooldown charge -X"" on unit during combat.",300
Def Smoke 1,C,Inflicts Def-3 on foes within 2 spaces of target through their next actions after combat.,60
