Name,Might,Range,Description,SP
Iron Lance,6,1,—,50
Steel Lance,8,1,—,100
Brave Lance,5,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",200
Brave Lance+,8,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",300
Panther Lance,16,1,"During combat, boosts unit's Atk/Def by number of allies within 2 spaces × 2. (Maximum bonus of +6 to each stat.)",400
Fire,4,2,—,50
Elfire,6,2,—,100
Rauðrrabbit,8,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",200
Rauðrrabbit+,12,2,"During unit's first combat in player phase or enemy phase, grants Atk/Res+5 to unit and restores 7 HP to unit after combat.",300
Iron Bow,4,2,Effective against flying foes.,50
Steel Bow,6,2,Effective against flying foes.,100
Silver Bow,9,2,Effective against flying foes.,200
Arcane Darkbow,14,2,"Accelerates Special trigger (cooldown count-1). Effective against flying foes. At start of combat, if unit's HP ≥ 25%, grants Atk/Spd+6 to unit, neutralizes unit's penalties, and neutralizes effects that prevent unit's follow-up attacks during combat, and also, if unit initiates combat, unit can make a follow-up attack before foe can counterattack.",300
Harp Bow,8,2,"Effective against flying foes.If unit initiates combat or foe's Range = 2, grants Atk/Spd/Def/Res+4 to unit, deals damage = 15% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by X% during combat (if it is unit's first combat initiated by unit or first combat initiated by foe that turn, X = 60; otherwise, X = 30; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",200
Harp Bow+,12,2,"Effective against flying foes.If unit initiates combat or foe's Range = 2, grants Atk/Spd/Def/Res+4 to unit, deals damage = 15% of unit's Spd (excluding area-of-effect Specials), and reduces damage from foe's first attack by X% during combat (if it is unit's first combat initiated by unit or first combat initiated by foe that turn, X = 60; otherwise, X = 30; ""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes).",300
Fire Breath,6,1,—,50
Fire Breath+,8,1,—,100
Flametongue,11,1,—,200
Dragon's Fist,11,1,"Accelerates Special trigger (cooldown count-1). Unit attacks twice (even if foe initiates combat, unit attacks twice). At start of combat, if unit's HP ≥ 25%, grants Atk/Spd/Def/Res+5 to unit during combat, inflicts Atk/Spd/Def/Res-X on foe during combat (X = number of distinct game titles among allies within 3 spaces of unit × 3, + 4; max 10), and reduces damage from area-of-effect Specials (excluding Røkkr area-of-effect Specials) and from foe's first attack during combat by 40% (""first attack"" normally means only the first strike; for effects that grant ""unit attacks twice,"" it means the first and second strikes). If foe's Range = 2, calculates damage using the lower of foe's Def or Res.",400
Iron Sword,6,1,—,50
Steel Sword,8,1,—,100
Silver Sword,11,1,—,200
