Key,Name,Default,Unlock
Alcryst_Tender_Archer,Night Sky,4,3
Alcryst_Tender_Archer,Glimmer,—,4
Alcryst_Tender_Archer,Deadeye,—,5
Alear_Awoken_Divinity,Night Sky,4,3
Alear_Awoken_Divinity,Glimmer,—,4
Alear_Awoken_Divinity,Dragon Blast,—,5
Alear_Dragon_Child,New Moon,4,3
Alear_Dragon_Child,Luna,—,4
Alear_Dragon_Youth,Dragon Gaze,4,3
Alear_Dragon_Youth,Draconic Aura,—,4
Alear_Engaging_Fire,Chilling Wind,4,3
Alear_Engaging_Fire,Iceberg,—,4
Alear_Engaging_Fire,Dragon's Roar,—,5
Alear_Fell_Dragon_Child,Night Sky,4,3
Alear_Fell_Dragon_Child,Glimmer,—,4
Alear_Fell_Dragon_Child,Gust,—,5
Alear_Gifted_Dragons,Chilling Wind,5,3
Alear_Gifted_Dragons,Iceberg,—,4
Alear_Gifted_Dragons,Dragon's Roar,—,5
Alear_Red_Days_Past,Night Sky,4,3
Alear_Red_Days_Past,Glimmer,—,4
Alear_Red_Days_Past,Fell Blast,—,5
Alear_Seaside_Dragon,Night Sky,4,3
Alear_Seaside_Dragon,Glimmer,—,4
Alear_Seaside_Dragon,Bond Blast,—,5
Alfonse_Heir_to_Openness,Glowing Ember,4,3
Alfonse_Heir_to_Openness,Bonfire,—,4
Alfonse_Heir_to_Openness,Makings of a King,—,5
Alfonse_Spring_Prince,Daylight,4,3
Alfonse_Spring_Prince,Noontime,—,4
Alfonse_Uplifting_Love,New Moon,4,3
Alfonse_Uplifting_Love,Moonbow,—,4
Alfred_Floral_Protector,Glowing Ember,4,3
Alfred_Floral_Protector,Bonfire,—,4
Alm_Powerful_Resolve,New Moon,4,3
Alm_Powerful_Resolve,Moonbow,—,4
Alm_Powerful_Resolve,True Lunar Flash,—,5
Altina_Unrivaled_Dawn,Chilling Wind,4,3
Altina_Unrivaled_Dawn,Iceberg,—,4
Altina_Unrivaled_Dawn,Arms of the Three,—,5
Amelia_Blossoming_Talent,Glowing Ember,4,3
Amelia_Blossoming_Talent,Bonfire,—,4
Amelia_Blossoming_Talent,Armored Beacon,—,5
Anankos_Seething_Silence,Daylight,4,3
Anankos_Seething_Silence,Noontime,—,4
Anna_Secret_Charmer,New Moon,4,3
Anna_Secret_Charmer,Luna,—,4
Anna_Twice_the_Anna,Miracle,4,3
Annette_Festive_Helper,New Moon,4,3
Annette_Festive_Helper,Moonbow,—,4
Arion_Gungnirs_Heir,Glowing Ember,4,3
Arion_Gungnirs_Heir,Ignis,—,4
Arlen_Mage_of_Khadein,Glowing Ember,4,3
Arlen_Mage_of_Khadein,Ignis,—,4
Arthur_Furious_Mage,Night Sky,4,3
Arthur_Furious_Mage,Glimmer,—,4
Artur_Silver_Saint,Chilling Wind,4,3
Artur_Silver_Saint,Iceberg,—,4
Arval_Cycle_Keeper,Chilling Wind,4,3
Arval_Cycle_Keeper,Glacies,—,4
Ash_Earnest_Greetings,Glowing Ember,4,3
Ash_Earnest_Greetings,Bonfire,—,4
Ashe_Chivalric_Amends,New Moon,4,3
Ashe_Chivalric_Amends,Moonbow,—,4
Ashe_Chivalric_Amends,Curved Shot,—,5
Ashe_Fabled_Sea_Knight,New Moon,4,3
Ashe_Fabled_Sea_Knight,Moonbow,—,4
Askr_God_of_Openness,Glowing Ember,4,3
Askr_God_of_Openness,Bonfire,—,4
Askr_Open_Harvest,Glowing Ember,4,3
Askr_Open_Harvest,Ignis,—,4
Askr_Open_Harvest,Sturdy Beast,—,5
Askr_Renewed_Gods,Glowing Ember,4,3
Askr_Renewed_Gods,Bonfire,—,4
Athos_Omniscient_One,Chilling Wind,4,3
Athos_Omniscient_One,Glacies,—,4
Athos_Omniscient_One,Frost Moon,—,5
Atlas_Forest_Muscle,Daylight,4,3
Atlas_Forest_Muscle,Sol,—,4
August_Astute_Tactician,Imbue,4,2
August_Astute_Tactician,Still-Water Balm,5,3
August_Astute_Tactician,Fireflood Balm,—,4
August_Astute_Tactician,Fireflood Balm+,—,5
Ayra_Supreme_Astra,Night Sky,4,3
Ayra_Supreme_Astra,Astra,—,4
Ayra_Supreme_Astra,Crusader's Astra,—,5
Ayra_Together_in_Tea,Night Sky,4,3
Ayra_Together_in_Tea,Astra,—,4
Ayra_Together_in_Tea,Supreme Astra,—,5
Azama_Carefree_Monk,Imbue,4,2
Azama_Carefree_Monk,Solid-Earth Balm,5,3
Baldr_Celestial_Sun_God,Night Sky,4,3
Baldr_Celestial_Sun_God,Astra,—,4
Baldr_Celestial_Sun_God,Celestial Form,—,5
Baldr_Rays_of_Judgment,Dragon Gaze,4,3
Baldr_Rays_of_Judgment,Dragon Fang,—,4
Baldr_Rays_of_Judgment,Archrival,—,5
Balthus_King_of_Grappling,Glowing Ember,4,3
Balthus_King_of_Grappling,Ignis,—,4
Basilio_Feroxi_West-Khan,New Moon,4,3
Basilio_Feroxi_West-Khan,Moonbow,—,4
Bastian_Crimeas_Keystone,Chilling Wind,4,3
Bastian_Crimeas_Keystone,Iceberg,—,4
Benny_Sensitive_Soul,Buckler,4,3
Benny_Sensitive_Soul,Pavise,—,4
Bernadetta_Late_Hibernator,Dragon Gaze,4,3
Bernadetta_Late_Hibernator,Draconic Aura,—,4
Bernadetta_Sheltered_Loner,New Moon,4,3
Bernadetta_Sheltered_Loner,Moonbow,—,4
Bernadetta_Sheltered_Loner,Curved Shot,—,5
Bertram_Dread_Cavalier,Glowing Ember,4,3
Bertram_Dread_Cavalier,Ignis,—,4
Black_Knight_Mortal_Legend,New Moon,4,3
Black_Knight_Mortal_Legend,Luna,—,4
Black_Knight_Mortal_Legend,Pitch-Dark Luna,—,5
Black_Knight_The_Nights_Blade,New Moon,4,3
Black_Knight_The_Nights_Blade,Luna,—,4
Black_Knight_The_Nights_Blade,Black Luna,—,5
Bors_Ostias_Bastion,Glowing Ember,4,3
Bors_Ostias_Bastion,Ignis,—,4
Brady_Daunting_Priest,Imbue,4,2
Brady_Daunting_Priest,Heavenly Light,5,3
Brigand_Boss_Known_Criminal,Dragon Gaze,4,3
Brigand_Boss_Known_Criminal,Dragon Fang,—,4
Brigid_Awakened_Bow,Dragon Gaze,4,3
Brigid_Awakened_Bow,Draconic Aura,—,4
Bruno_Masked_Hare,Imbue,4,2
Bruno_Masked_Hare,Miracle,5,3
Bruno_Masked_Knight,Dragon Gaze,4,3
Bruno_Masked_Knight,Dragon Fang,—,4
Byleth_Anchor_of_Hope,Night Sky,4,3
Byleth_Anchor_of_Hope,Glimmer,—,4
Byleth_Anchor_of_Hope,Gust,—,5
Byleth_Fount_of_Learning,Dragon Gaze,4,3
Byleth_Fount_of_Learning,Draconic Aura,—,4
Byleth_Fount_of_Learning,Sublime Heaven,—,5
Byleth_Frosty_Professors,Dragon Gaze,4,3
Byleth_Frosty_Professors,Draconic Aura,—,4
Byleth_Frosty_Professors,Supreme Heaven,—,5
Byleth_Vengeance_Vessel,Dragon Gaze,4,3
Byleth_Vengeance_Vessel,Draconic Aura,—,4
Byleth_Vengeance_Vessel,Divine Pulse,—,5
Caeda_Marths_Faithful,New Moon,4,3
Caeda_Marths_Faithful,Luna,—,4
Caeda_Talyss_Bride,Chilling Wind,4,3
Caeda_Talyss_Bride,Iceberg,—,4
Caeldori_Perfect_Angel,Dragon Gaze,4,3
Caeldori_Perfect_Angel,Draconic Aura,—,4
Camilla_Alluring_Darkness,Dragon Gaze,4,3
Camilla_Alluring_Darkness,Draconic Aura,—,4
Camilla_Holiday_Traveler,Dragon Gaze,4,3
Camilla_Holiday_Traveler,Draconic Aura,—,4
Camilla_Midnight_Bloom,Night Sky,4,3
Camilla_Midnight_Bloom,Glimmer,—,4
Camilla_Steamy_Secrets,Night Sky,4,3
Camilla_Steamy_Secrets,Glimmer,—,4
Camilla_Tropical_Beauty,Dragon Gaze,4,3
Camilla_Tropical_Beauty,Draconic Aura,—,4
Camilla_Young_Beauty,Dragon Gaze,4,3
Camilla_Young_Beauty,Draconic Aura,—,4
Camilla_Young_Beauty,No Quarter,—,5
Candace_Sly_Snatcher,Chilling Wind,4,3
Candace_Sly_Snatcher,Glacies,—,4
Caspar_Hotheaded_Inciter,New Moon,4,3
Caspar_Hotheaded_Inciter,Moonbow,—,4
Castor_Loving_Son,Dragon Gaze,4,3
Castor_Loving_Son,Dragon Fang,—,4
Catria_Azure_Wing_Pair,New Moon,4,3
Catria_Azure_Wing_Pair,Moonbow,—,4
Cecilia_Festive_Instructor,Chilling Wind,4,3
